City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Olafsvik,64.8945,-23.7142,29.75,87,29,3.02,IS,1611844899
Talara,-4.5772,-81.2719,78.8,65,0,16.11,PE,1611844899
Riwaka,-41.0833,173.0,57.0,64,89,2.24,NZ,1611844899
Kozhva,65.1073,57.0459,-6.83,90,100,8.7,RU,1611844899
Meadow Lake,34.8014,-106.5436,30.0,63,90,8.05,US,1611844899
Lenina,46.0667,39.7833,41.79,88,100,10.13,RU,1611844899
Haines Junction,60.7522,-137.5108,-29.2,68,66,3.44,CA,1611844899
Itoman,26.1247,127.6694,60.8,59,75,25.32,JP,1611844686
Talwandi Bhai,30.85,74.9333,50.65,43,0,5.35,IN,1611844899
Nola,40.922,14.5329,54.0,39,64,1.01,IT,1611844900
Zhigansk,66.7697,123.3711,-52.44,76,74,4.99,RU,1611844680
Karaton,-6.3424,106.1045,77.0,88,40,3.44,ID,1611844900
Bilma,18.6853,12.9164,81.86,13,0,6.55,NE,1611844900
Kosum Phisai,16.2486,103.0674,78.8,53,17,10.36,TH,1611844900
Pimentel,-6.8367,-79.9342,71.6,83,0,3.44,PE,1611844900
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,89.01,50,0,1.99,AR,1611844900
Leverkusen,51.0333,7.0,46.0,97,100,4.09,DE,1611844900
Khandyga,62.6667,135.6,-53.66,72,90,0.18,RU,1611844901
Dubbo,-32.25,148.6167,69.8,64,75,18.41,AU,1611844901
Marzuq,14.4,46.4667,70.16,29,0,9.51,YE,1611844901
Lüderitz,-26.6481,15.1594,75.24,49,0,31.72,NA,1611844901
Clyde River,70.4692,-68.5914,-18.4,76,1,3.44,CA,1611844901
Metro,-5.1131,105.3067,74.35,91,100,3.58,ID,1611844901
Marsá Maţrūḩ,31.3525,27.2453,62.6,36,40,19.57,EG,1611844902
Pauini,-7.7136,-66.9764,82.45,77,100,1.88,BR,1611844902
Mount Gambier,-37.8333,140.7667,71.6,73,90,9.22,AU,1611844902
Emerald,-23.5333,148.1667,80.6,61,90,14.97,AU,1611844902
Muisne,0.6,-80.0333,75.2,100,90,1.14,EC,1611844902
Shellbrook,53.2168,-106.4011,1.4,85,90,10.36,CA,1611844902
Usinsk,65.9939,57.5281,-17.36,86,97,10.76,RU,1611844902
Terney,45.0503,136.6092,14.25,93,100,15.64,RU,1611844903
Ambilobe,-13.2,49.05,79.48,82,100,2.44,MG,1611844903
Redmond,47.674,-122.1215,39.0,97,100,0.67,US,1611844608
Arraial do Cabo,-22.9661,-42.0278,93.2,55,0,13.8,BR,1611844903
West Sacramento,38.5805,-121.5302,48.2,93,90,13.8,US,1611844903
Lisala,2.15,21.5167,90.41,44,100,2.77,CD,1611844903
Bali,-8.5,115.0,82.4,78,40,4.61,ID,1611844904
Merauke,-8.4667,140.3333,80.91,81,100,11.88,ID,1611844904
Yulara,-25.2406,130.9889,87.8,45,91,11.5,AU,1611844904
La Rioja,42.25,-2.5,64.4,63,0,16.11,ES,1611844904
Ndioum,16.5129,-14.6471,95.5,8,0,14.56,SN,1611844904
Worcester,42.3334,-71.8328,28.99,74,90,8.05,US,1611844800
Kushtagi,15.7667,76.2,74.82,38,18,8.05,IN,1611844904
Chifeng,42.2683,118.9636,-10.23,76,6,3.85,CN,1611844904
San Alberto,7.7611,-73.3922,87.67,44,13,4.61,CO,1611844905
Adeje,28.1227,-16.726,73.4,68,0,8.05,ES,1611844905
Port Blair,11.6667,92.75,79.99,82,0,9.46,IN,1611844905
Saint-Joseph,-21.3667,55.6167,86.0,66,90,9.22,RE,1611844905
Bahía Blanca,-38.7196,-62.2724,78.73,21,15,10.0,AR,1611844766
Pundaguitan,6.3711,126.1689,81.63,75,77,9.31,PH,1611844905
Toamasina,-18.1667,49.3833,86.0,74,40,6.91,MG,1611844905
Iqaluit,63.7506,-68.5145,-11.2,70,1,40.29,CA,1611844906
Hamilton,39.1834,-84.5333,24.8,68,90,5.75,US,1611844906
Kavieng,-2.5744,150.7967,82.74,77,92,10.67,PG,1611844906
Bulgan,48.8125,103.5347,13.33,84,9,13.71,MN,1611844906
Cairns,-16.9167,145.7667,75.2,94,75,5.75,AU,1611844698
San Policarpo,12.1791,125.5072,78.87,79,99,15.95,PH,1611844906
Urbano Santos,-3.2078,-43.4036,83.73,78,100,4.63,BR,1611844906
São João da Barra,-21.6403,-41.0511,89.6,43,0,4.61,BR,1611844906
Zeya,53.75,127.2667,-20.85,83,100,2.48,RU,1611844907
Hasaki,35.7333,140.8333,36.0,100,75,8.05,JP,1611844907
Ulaangom,49.9811,92.0667,-13.14,88,87,1.14,MN,1611844907
Luganville,-15.5333,167.1667,77.22,80,100,2.19,VU,1611844907
Austin,30.2672,-97.7431,39.2,70,1,4.61,US,1611844510
Khotynets,53.1286,35.3966,33.66,98,100,13.73,RU,1611844908
Sarangani,5.4033,125.4636,82.06,72,71,9.78,PH,1611844908
Kirovsk,48.6375,38.6428,38.68,92,100,12.88,UA,1611844908
Athabasca,54.7169,-113.2854,-5.8,84,99,2.33,CA,1611844908
Pisco,-13.7,-76.2167,75.2,73,0,4.61,PE,1611844908
Cikupa,-6.2364,106.5083,80.01,88,40,3.44,ID,1611844904
Sfântu Gheorghe,45.8667,25.7833,28.99,81,100,3.0,RO,1611844908
Port Lincoln,-34.7333,135.8667,63.16,90,100,4.81,AU,1611844909
Sur,22.5667,59.5289,67.5,53,0,5.26,OM,1611844909
Northam,51.0333,-4.2167,52.0,96,100,5.99,GB,1611844909
Slonim,53.0867,25.3219,20.59,98,73,2.13,BY,1611844909
Arlit,18.7369,7.3853,84.88,13,0,5.46,NE,1611844909
Vestmannaeyjar,63.4427,-20.2734,32.0,69,20,23.02,IS,1611844909
Burnie,-41.0667,145.9167,55.99,63,87,15.01,AU,1611844910
Aden,12.7794,45.0367,76.41,68,0,14.25,YE,1611844678
Bereznehuvate,47.3078,32.8499,33.28,94,100,15.99,UA,1611844910
Staryy Nadym,65.6118,72.6842,-26.46,85,100,14.32,RU,1611844910
Nanortalik,60.1432,-45.2371,29.75,91,100,8.23,GL,1611844910
Arrondissement de Saint-Denis,48.9167,2.3333,57.2,77,75,12.66,FR,1611844910
Calvià,39.5657,2.5062,66.99,68,0,13.8,ES,1611844747
Pushkino,56.0172,37.8667,32.0,100,90,11.18,RU,1611844910
Corinth,37.9407,22.9573,52.0,34,1,10.0,GR,1611844911
San Jose,37.3394,-121.895,50.0,87,90,10.36,US,1611844892
Bull Savanna,17.8868,-77.5902,78.55,63,6,3.6,JM,1611844911
Egvekinot,66.3167,-179.1667,-14.69,86,100,22.41,RU,1611844911
Dogondoutchi,13.6393,4.0287,94.71,10,0,13.51,NE,1611844911
Jérémie,18.65,-74.1167,81.09,60,0,2.46,HT,1611844911
Samarai,-10.6167,150.6667,81.1,79,100,10.58,PG,1611844911
Ostrovnoy,68.0531,39.5131,1.87,91,79,11.34,RU,1611844911
Anadyr,64.75,177.4833,6.8,78,75,13.42,RU,1611844912
Iralaya,15.0,-83.2333,80.6,82,40,11.5,HN,1611844912
Ekhabi,53.5102,142.9671,2.64,94,100,5.35,RU,1611844912
Patacamaya,-17.2333,-67.9167,55.78,41,15,3.76,BO,1611844912
Kudat,6.8837,116.8477,80.6,83,40,4.61,MY,1611844913
Derbent,42.0678,48.2899,50.88,60,100,7.45,RU,1611844913
Santana,-0.0583,-51.1817,86.0,70,75,6.91,BR,1611844913
Iguape,-24.7081,-47.5553,90.82,51,89,4.38,BR,1611844823
‘Āhuimanu,21.4447,-157.8378,73.4,68,75,11.5,US,1611844913
Mayuge,0.4597,33.4803,78.06,56,87,9.71,UG,1611844913
Damaturu,11.747,11.9608,92.39,10,54,15.01,NG,1611844913
Olinda,-8.0089,-34.8553,84.2,58,40,10.36,BR,1611844914
El Calvario,14.1167,-89.9167,77.0,53,0,4.61,GT,1611844914
Sinazongwe,-17.2614,27.4618,80.92,71,100,7.49,ZM,1611844914
Sisimiut,66.9395,-53.6735,10.92,79,0,10.38,GL,1611844914
Khipro,25.8285,69.3772,60.66,26,0,5.84,PK,1611844914
Maragogi,-9.0122,-35.2225,83.53,64,100,9.6,BR,1611844914
Nantucket,41.2835,-70.0995,37.0,100,90,10.36,US,1611844648
Yibin,28.7667,104.6238,52.32,66,0,1.79,CN,1611844629
Kaseda-shirakame,31.4167,130.3167,44.55,77,90,32.73,JP,1611844638
Sept-Îles,50.2001,-66.3821,17.01,62,17,4.61,CA,1611844802
Hay River,60.8156,-115.7999,-23.8,76,100,3.44,CA,1611844915
Grindavik,63.8424,-22.4338,28.4,74,0,6.91,IS,1611844915
Shimoda,34.6667,138.95,36.0,93,62,1.41,JP,1611844915
Rincon,32.296,-81.2354,46.99,61,20,17.27,US,1611844915
Qaqortoq,60.7167,-46.0333,44.6,31,75,23.02,GL,1611844915
Verāval,20.9,70.3667,72.45,27,0,16.06,IN,1611844915
Bétérou,9.1992,2.2586,101.3,8,0,5.19,BJ,1611844916
Lata,40.1629,-8.3327,68.0,65,100,4.52,PT,1611844916
Talnakh,69.4865,88.3972,-32.17,75,0,6.8,RU,1611844916
Chincha Alta,-13.4099,-76.1323,75.2,73,0,4.61,PE,1611844916
Portland,45.5234,-122.6762,41.0,87,90,11.5,US,1611844829
Suntar,62.1444,117.6319,-44.81,78,100,3.67,RU,1611844916
Toro,4.6117,-76.0814,71.6,78,40,3.44,CO,1611844916
Lakhīmpur,27.95,80.7667,55.99,42,0,4.94,IN,1611844917
Khani,41.9563,42.9566,50.0,76,90,13.8,GE,1611844917
George Town,5.4112,100.3354,78.8,83,40,2.1,MY,1611844895
Kabwe,-14.4469,28.4464,74.01,87,100,2.39,ZM,1611844917
Goderich,43.7501,-81.7165,19.4,79,98,21.85,CA,1611844821
Airai,-8.9266,125.4092,61.45,100,100,3.8,TL,1611844917
Gweta,-20.1833,25.2333,84.69,50,100,9.22,BW,1611844917
Kangaba,11.9333,-8.4167,98.76,8,18,5.35,ML,1611844917
Kinshasa,-4.3246,15.3215,89.6,48,20,8.05,CD,1611844918
Seguin,29.5688,-97.9647,44.01,75,1,6.91,US,1611844918
Nemuro,43.3236,145.575,27.0,90,100,16.64,JP,1611844918
Kwang Binh,17.4833,106.6,67.17,87,55,11.9,VN,1611844918
Knyaze-Volkonskoye,48.4642,135.4567,-13.0,64,20,2.24,RU,1611844918
Peniche,39.3558,-9.3811,59.0,95,100,8.99,PT,1611844918
Matagami,49.7502,-77.6328,-7.6,77,90,12.66,CA,1611844919
South Valley,35.0101,-106.6781,30.0,63,90,8.05,US,1611844919
Mehamn,71.0357,27.8492,23.0,74,75,23.02,NO,1611844919
São José da Coroa Grande,-8.8978,-35.1478,83.14,65,99,9.06,BR,1611844919
Sabang,5.8933,95.3214,81.7,79,1,12.26,ID,1611844919
Rovaniemi,66.5,25.7167,14.0,85,90,16.11,FI,1611844920
Fukuechō,32.6881,128.8419,39.7,79,80,36.33,JP,1611844787
Naghadeh,36.9553,45.388,36.23,89,79,5.12,IR,1611844734
Ayabaca,-4.6398,-79.7149,59.04,90,79,3.62,PE,1611844920
Catuday,16.2923,119.8062,78.01,79,8,15.03,PH,1611844920
Yinzhu,35.8786,119.9753,25.0,49,0,4.47,CN,1611844921
Bandarbeyla,9.4942,50.8122,75.0,72,0,17.4,SO,1611844921
Toora-Khem,52.4675,96.11,12.24,93,100,3.33,RU,1611844921
College,64.8569,-147.8028,-22.0,69,20,2.89,US,1611844921
Klyuchi,52.2667,79.1667,16.36,97,58,11.05,RU,1611844921
Noumea,-22.2763,166.4572,81.0,88,0,3.44,NC,1611844921
Furtwangen im Schwarzwald,48.05,8.2,55.4,76,75,19.57,DE,1611844921
Punta de Bombón,-17.1717,-71.7931,72.36,69,88,5.95,PE,1611844922
Tessalit,20.1986,1.0114,86.68,11,0,15.7,ML,1611844922
Aykhal,66.0,111.5,-37.07,79,53,6.15,RU,1611844922
Conde,-7.2597,-34.9075,87.8,58,75,12.66,BR,1611844922
Cohoes,42.7742,-73.7001,21.99,68,75,13.8,US,1611844922
Sambava,-14.2667,50.1667,80.6,82,61,6.85,MG,1611844922
Sabha,27.0377,14.4283,65.46,25,0,9.64,LY,1611844923
Dalvik,65.9702,-18.5286,-0.4,85,0,8.05,IS,1611844923
Berlevåg,70.8578,29.0864,24.8,58,75,16.11,NO,1611844923
Micheweni,-4.9667,39.8333,81.36,77,0,17.16,TZ,1611844923
Hongjiang,27.11,109.9956,45.41,66,1,2.15,CN,1611844877
Luba,3.4568,8.5547,87.8,70,20,13.8,GQ,1611844923
Greater Sudbury,46.49,-80.99,-2.0,71,20,4.61,CA,1611844912
Gilgit,35.9221,74.3087,26.96,56,22,3.71,PK,1611844923
Arroyo de la Encomienda,41.6096,-4.7969,62.01,77,40,10.36,ES,1611844924
Arman',59.7,150.1667,-17.82,78,0,10.49,RU,1611844924
Quatre Cocos,-20.2078,57.7625,82.4,69,40,10.36,MU,1611844924
Ucar,40.519,47.6542,46.4,61,90,4.94,AZ,1611844924
Chamba,32.5667,76.1333,48.02,46,64,6.15,IN,1611844924
Buala,-8.145,159.5921,81.34,82,100,9.69,SB,1611844924
Ratnagiri,16.9833,73.3,74.77,68,32,9.06,IN,1611844925
Yaan,7.3833,8.5667,99.57,8,54,8.28,NG,1611844925
Bereda,43.2686,-7.5406,61.0,80,100,18.99,ES,1611844925
Adrar,20.5022,-10.0711,82.76,15,0,14.56,MR,1611844925
Hofn,64.2539,-15.2082,32.0,59,90,3.44,IS,1611844925
La Santisima Trinidad,-14.8333,-64.9,74.21,92,100,6.24,BO,1611844717
Kyaukse,21.6,96.1333,70.88,49,0,3.42,MM,1611844766
Stornoway,58.2093,-6.3865,41.0,70,20,19.57,GB,1611844925
Juneau,58.3019,-134.4197,10.4,79,20,5.82,US,1611844732
General Roca,-39.0333,-67.5833,69.8,37,0,6.91,AR,1611844694
Talen,23.5667,76.7167,60.69,32,0,10.85,IN,1611844926
Shingū,33.7333,135.9833,45.41,75,5,12.33,JP,1611844926
Mutatá,7.2441,-76.4356,83.41,68,52,2.57,CO,1611844926
Bonavista,48.6499,-53.1147,28.99,93,100,2.3,CA,1611844926
Ikare,7.4913,5.2322,96.71,23,6,6.87,NG,1611844926
Ilulissat,69.2167,-51.1,10.4,48,1,12.66,GL,1611844927
Wad Medani,14.4012,33.5199,93.56,10,0,15.68,SD,1611844927
Atar,20.5169,-13.0499,88.2,12,0,16.87,MR,1611844927
Sistranda,63.7256,8.834,28.4,74,40,21.85,NO,1611844927
Frutigen,46.5878,7.6475,46.99,94,100,5.03,CH,1611844927
Labuhan,-6.8844,112.2051,77.02,90,88,20.15,ID,1611844927
Soyo,-6.1349,12.3689,86.0,70,75,6.91,AO,1611844928
Hirara,24.8,125.2833,60.13,72,95,31.25,JP,1611844628
Itacaré,-14.2775,-38.9967,84.2,79,40,11.5,BR,1611844928
Kasangulu,-4.5911,15.1708,89.6,51,75,9.22,CD,1611844928
Carberry,49.8689,-99.3602,-2.2,78,75,12.66,CA,1611844928
Arrondissement du Havre,49.5833,0.3333,52.0,93,75,19.57,FR,1611844928
Zavetnoye,47.1194,43.8903,34.63,89,100,5.14,RU,1611844928
Simao,22.7886,100.9748,55.63,71,0,1.99,CN,1611844928
Huayucachi,-12.1333,-75.2333,59.58,56,61,1.1,PE,1611844929
Opuwo,-18.0607,13.84,81.88,46,91,10.07,NA,1611844929
Kidal,18.4411,1.4078,86.97,10,0,13.98,ML,1611844929
Khilok,51.3674,110.4676,-5.85,89,99,3.65,RU,1611844929
Mushie,-3.0167,16.9,89.06,51,28,0.36,CD,1611844929
Yatou,37.15,122.3833,23.43,82,100,12.8,CN,1611844929
Kutum,14.2,24.6667,83.01,13,0,14.18,SD,1611844929
Cullman,34.1748,-86.8436,37.0,64,75,10.36,US,1611844814
Cedar City,37.6775,-113.0619,33.8,60,20,17.27,US,1611844930
Kumul,42.8,93.45,21.04,82,0,2.66,CN,1611844748
Prince George,53.9166,-122.753,1.4,78,90,4.61,CA,1611844690
Severnoye,56.3491,78.3619,22.05,97,100,15.46,RU,1611844930
Kaniama,-7.5667,24.1833,76.06,87,53,4.07,CD,1611844930
Myitkyina,25.3833,97.4,60.53,51,0,2.73,MM,1611844930
Winneba,5.3511,-0.6231,87.8,66,52,12.66,GH,1611844931
Leshukonskoye,64.8989,45.7622,-2.83,92,93,5.5,RU,1611844931
Boundiali,9.5217,-6.4869,97.7,9,0,6.2,CI,1611844931
Abadan,38.0507,58.2056,46.4,53,40,6.91,TM,1611844931
Dunedin,-45.8742,170.5036,46.99,79,72,10.0,NZ,1611844931
Zyryanka,65.75,150.85,-24.43,86,100,9.64,RU,1611844931
Dobrić,44.7019,19.5814,44.01,50,65,1.99,RS,1611844931
São Miguel do Araguaia,-13.275,-50.1628,82.94,71,100,4.94,BR,1611844815
Puerto Madero,14.7208,-92.4215,73.4,88,40,2.3,MX,1611844932
Raudeberg,61.9875,5.1352,32.0,77,93,21.27,NO,1611844932
Aswān,24.0934,32.907,74.41,21,23,10.36,EG,1611844932
Mahon,39.8885,4.2658,64.4,72,0,6.91,ES,1611844932
Ust-Nera,64.5667,143.2,-30.98,75,80,1.57,RU,1611844932
Vestmanna,62.1564,-7.1664,30.2,93,40,17.98,FO,1611844932
Acapulco de Juárez,16.8634,-99.8901,73.4,73,75,4.36,MX,1611844932
Macia,-25.0269,33.0989,74.14,90,90,13.35,MZ,1611844741
Kununurra,-15.7667,128.7333,78.8,100,75,13.8,AU,1611844933
Sawtell,-30.3833,153.1,73.4,78,40,6.91,AU,1611844933
Creil,49.2567,2.4848,57.2,77,75,14.97,FR,1611844701
Ruteng,-8.6136,120.4721,65.05,100,100,4.56,ID,1611844933
Eyl,7.9803,49.8164,75.33,69,0,20.98,SO,1611844933
Ust-Maya,60.4167,134.5333,-40.77,79,100,1.86,RU,1611844933
Lobito,-12.3481,13.5456,81.14,66,5,9.13,AO,1611844934
Oranjestad,12.524,-70.027,82.4,65,20,20.71,AW,1611844934
Puerto Escondido,15.85,-97.0667,73.4,94,75,4.61,MX,1611844934
Bell Ville,-32.6259,-62.6887,95.25,24,39,7.81,AR,1611844934
Laela,-8.5667,32.05,70.83,87,89,4.07,TZ,1611844935
Waddān,29.1614,16.139,67.68,29,0,17.16,LY,1611844713
Kumluca,36.3703,30.2869,50.61,48,61,13.27,TR,1611844935
Havelock,34.8791,-76.9013,35.01,88,96,8.99,US,1611844641
Tazmalt,36.3868,4.3989,68.45,52,4,3.76,DZ,1611844935
Aras,42.5617,-2.356,64.4,63,0,16.11,ES,1611844935
Samarinda,-0.5,117.15,73.06,96,100,2.57,ID,1611844659
Dhāri,21.3333,71.0167,62.87,28,0,9.26,IN,1611844936
Novy Urengoy,66.0833,76.6333,-32.85,83,100,12.88,RU,1611844936
Koundara,12.4833,-13.3,103.91,7,8,6.11,GN,1611844936
Yar-Sale,66.8333,70.8333,-28.16,85,100,12.19,RU,1611844936
Joshīmath,30.5667,79.5667,37.54,49,9,5.35,IN,1611844936
Kushikino,31.7167,130.2667,42.71,77,98,28.07,JP,1611844936
Dayong,25.0209,118.2898,57.2,77,0,8.95,CN,1611844936
Senanga,-16.1167,23.2667,77.4,75,39,10.25,ZM,1611844936
Southampton,50.904,-1.4043,55.99,88,75,8.05,GB,1611844936
Altamont,42.2068,-121.7372,33.8,86,40,14.97,US,1611844937
Imbituba,-28.24,-48.6703,80.6,78,75,6.91,BR,1611844937
Yerofey Pavlovich,53.9667,121.9667,-32.84,77,5,2.62,RU,1611844937
Ruska Poliana,49.417,31.9201,31.01,99,100,10.29,UA,1611844937
Sola,-13.8833,167.55,82.44,79,100,8.59,VU,1611844937
Dhidhdhoo,6.8833,73.1,81.73,63,49,9.44,MV,1611844937
Vredendal,-31.6683,18.5012,79.36,34,0,22.44,ZA,1611844937
Kushima,31.4583,131.2333,42.69,68,13,19.93,JP,1611844938
Eirunepé,-6.6603,-69.8736,83.53,77,87,0.65,BR,1611844938
Tocopilla,-22.092,-70.1979,73.38,53,12,4.56,CL,1611844938
Verkhoyansk,67.5447,133.385,-47.85,74,93,1.66,RU,1611844740
